ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
HIMALAYAN INSURANCE,Makwanpur,Private,2012,
RAM MILLS,Makwanpur,Private,2012,
RAPTI DEVELOPMENT,Makwanpur,Private,2017,
ANNAPURNA UDHYOG CHANDA,Makwanpur,Private,2019,
NEPAL MECHAINERY ENGINEERING COMPYT,Makwanpur,Private,2021,
Hetauda Eng.Co.,Makwanpur,Private,2022,
UNITED BREWERIES NEPAL,Makwanpur,Private,2022,
Head.Tech.Tra.Wor.,Makwanpur,Private,2023,
DAS OIL STORE,Makwanpur,Private,2023,
Pratap  Singh  (W.N.4)  Engineering  Works,Makwanpur,Private,2024,
NEPAL PAPER MILLS,Makwanpur,Private,2025,
NEPAL MAIDA MILLS,Makwanpur,Private,2026,
KHADHYA UDHYOG,Makwanpur,Private,2027,
NEPAL BAGING COMPANY,Makwanpur,Private,2027,
TANNING INTERPRISES OF NEPAL,Makwanpur,Private,2027,
HETAUNDA OIL MILL,Makwanpur,Private,2028,
RAPTI FURNITURE FACTORY,Makwanpur,Private,2029,
HETAUDA TEXTILE,Makwanpur,Private,2029,
NEPAL BLANKET AND WOOLLEN MILLS,Makwanpur,Private,2029,
Ganesh Laxmi Rice Mill,Makwanpur,Private,2030,
Fewa Bread,Makwanpur,Private,2031,
HETAUDA BAKERY UDHYOG,Makwanpur,Private,2031,
OMARA MODERN BRICKS,Makwanpur,Private,2031,
HETAUDA TEXTILE INDUSTRIES,Makwanpur,Private,2032,
HETAUDA ENGINEERING WORKS COMPANY,Makwanpur,Private,2032,
NEPAL BANASPATI  GHEE UDHYOG,Makwanpur,Public,2033,
NEPAL BANASPATI GHYU UDHYOG,Makwanpur,Private,2033,
HETAUDA CEMENT UDHYOG,Makwanpur,Public,2033,
PRATAP SINGH ENGINEERING WORKS,Makwanpur,Private,2034,
QUALITY CONCRETE PRODUCTS,Makwanpur,Private,2034,
Asian Transport,Makwanpur,Private,2034,
Nabin Kastha Udhyog,Makwanpur,Private,2035,
Milan Wood  Udyog,Makwanpur,Private,2035,
DIGBIJAYA PRODUCTS,Makwanpur,Private,2035,
NABIN BAKERY,Makwanpur,Private,2035,
Anil Nirman Sewa,Makwanpur,Private,2036,
Hetuda Byapara Company,Makwanpur,Private,2036,
Timilsina Dhuwani Sewa,Makwanpur,Private,2036,
Shiva Sahakti Nirman Co.,Makwanpur,Private,2036,
Ganesh Bekary,Makwanpur,Private,2037,
Gauri Yatayat,Makwanpur,Private,2037,
Ratna Workshop,Makwanpur,Private,2037,
Hetauds Consultant,Makwanpur,Private,2037,
Ranjan International,Makwanpur,Private,2037,
Kacho Chhala Sankalan Tatha Bikas Sanstha,Makwanpur,Public,2037,
Ratna Automobiles,Makwanpur,Private,2038,
Heatuda Transpoart,Makwanpur,Private,2038,
Makalu Transpoart Co.,Makwanpur,Private,2038,
Nirmal Cariyars,Makwanpur,Private,2038,
Nabin Carriers,Makwanpur,Private,2038,
MERCANTILE CARRIERS,Makwanpur,Private,2038,
S.T.,Makwanpur,Private,2038,
NARAYANI COLD STORES,Makwanpur,Private,2038,
JYOTI AUTO ENGINEERING WORKS,Makwanpur,Private,2038,
Prayers Careerers,Makwanpur,Private,2038,
Bar. Dhu.,Makwanpur,Private,2038,
Cal. Yata. Sewa,Makwanpur,Private,2038,
PASHUPATI WOOD BRICKET,Makwanpur,Private,2038,
NEPAL COST IRON INDUSTRIES,Makwanpur,Private,2039,
Apolo Transport,Makwanpur,Private,2039,
Narayani Transport,Makwanpur,Private,2039,
Sherestha  Construction Co.,Makwanpur,Private,2039,
KANCHAN DITERJENT UDYOG,Makwanpur,Private,2039,
Dhakal Transport Company,Makwanpur,Private,2040,
Sapana Nirman Sewa,Makwanpur,Private,2040,
Himgiri Paribahan Sewa,Makwanpur,Private,2040,
BAJARANG CHHAPAKHANA,Makwanpur,Private,2040,
Sugat Enterprises,Makwanpur,Private,2040,
Afnai Chhapakhana,Makwanpur,Private,2040,
Bajaranga Chhapakhana,Makwanpur,Private,2040,
